Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
5bdrm Duplex in Chevron Lekki for sale,400,5,5,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,350000000.0
5bdrm Duplex in Adeniyi Jones Ikeja for sale,400,5,5,Semi-Furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,450000000.0
"2bdrm Block of Flats in Olaniyi, New Oko Oba for sale",300,2,2,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,65000000.0
"2bdrm Block of Flats in Close To Ikate, Lekki Phase 1 for sale",600,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,120000000.0
3bdrm Bungalow in Ifo for sale,120,3,3,Semi-Furnished,"Ogun State, Ifo",Ifo,Ogun State,False,18000000.0
3bdrm Block of Flats in Beckley Estate New for sale,600,3,3,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,170000000.0
4bdrm Duplex in Ikota Lekki for sale,270,4,4,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,220000000.0
2bdrm Block of Flats in Lekki Phase 1 for sale,1200,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP,305000000.0
4bdrm Duplex in Within College Road for sale,330,4,4,Semi-Furnished,"Lagos State, Ogba",Ogba,Lagos State,Enterprise,250000000.0
6bdrm House in Mile 12 Kosofe for sale,600,6,3,Semi-Furnished,"Lagos State, Kosofe",Kosofe,Lagos State,Enterprise,160000000.0
"4bdrm Duplex in Ocean Bay, Lekki Phase 2 for sale",150,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos State,Enterprise,180000000.0
4bdrm Duplex in Magodo Phase 1 for sale,400,4,4,Semi-Furnished,"Ojodu, Magodo Isheri",Magodo Isheri,Lagos State,Enterprise,450000000.0
"5bdrm Duplex in Magodo Phase 2, Agboyi/Ketu for sale",500,5,4,Semi-Furnished,"Lagos State, Agboyi/Ketu",Agboyi/Ketu,Lagos State,Enterprise,750000000.0
"4bdrm Duplex in Magodo Phase 1, Ojodu for sale",260,4,4,Semi-Furnished,"Lagos State, Ojodu",Ojodu,Lagos State,Enterprise,250000000.0
3bdrm Apartment in Ifako Ogba for sale,150,3,3,Semi-Furnished,"Lagos State, Ogba",Ogba,Lagos State,Enterprise,130000000.0
2bdrm Block of Flats in New Oko Oba Abule for sale,400,2,2,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,200000000.0
4bdrm Duplex in Oko Oba Scheme 2 for sale,250,4,4,Semi-Furnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,Enterprise,230000000.0
Furnished 4bdrm Duplex in Lekki for sale,450,4,4,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,650000000.0
3bdrm Block of Flats in Estate Within New for sale,550,3,3,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,180000000.0
4bdrm Duplex in Obawole Ifako Ijaiye for sale,320,4,4,Semi-Furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,Enterprise,110000000.0
3bdrm Block of Flats in College Road Ogba for sale,630,3,2,Semi-Furnished,"Lagos State, Ogba",Ogba,Lagos State,Enterprise,290000000.0
"3bdrm Block of Flats in Jonathan Coker, for sale",600,3,3,Semi-Furnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,100000000.0
"2bdrm Block of Flats in Command, Alimosho, Iyana Ipaja for sale",600,2,2,Semi-Furnished,"Ipaja, Iyana Ipaja",Iyana Ipaja,Lagos State,Enterprise,85000000.0
5bdrm Duplex in Sangotedo for sale,450,5,6,Semi-Furnished,"Ajah, Sangotedo",Sangotedo,Lagos State,Enterprise,150000000.0
"3bdrm Block of Flats in Clem Ijaiye Ojokoro, Abule Egba for sale",600,3,2,Semi-Furnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,Enterprise,100000000.0
5bdrm Duplex in Omole Phase 1 for sale,300,5,5,Semi-Furnished,"Ikeja, Agidingbi",Agidingbi,Lagos State,Enterprise,550000000.0
8bdrm House in Oko Afo for sale,400,8,3,Unfurnished,"Badagry, Oko Afo",Oko Afo,Lagos State,Enterprise,18000000.0
"4bdrm Duplex in Kayfarm Estate, Ifako-Ogba for sale",400,4,4,Semi-Furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,Enterprise,400000000.0
"Furnished 3bdrm Apartment in River Park Estate, Lugbe District for sale",1500,3,4,Furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),VIP,85000000.0
"4bdrm Duplex in Ajah, Thomas Estate for sale",268,4,4,Unfurnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,VIP,165000000.0
Furnished 5bdrm Duplex in Sangotedo for sale,279,5,5,Furnished,"Ajah, Sangotedo",Sangotedo,Lagos State,VIP,330000000.0
4bdrm Duplex in Ogudu Gra Ojota for sale,350,4,3,Semi-Furnished,"Ojota, Ogudu Road",Ogudu Road,Lagos State,Enterprise,550000000.0
"5bdrm Duplex in Unilag Estate Magodo, Berger for sale",400,5,5,Semi-Furnished,"Ojodu, Berger",Berger,Lagos State,Enterprise,370000000.0
"3bdrm Block of Flats in Ijaiye Ojokoro Lcda, Ifako for sale",630,3,3,Semi-Furnished,"Agege, Ifako",Ifako,Lagos State,Enterprise,190000000.0
"Furnished 3bdrm Apartment in Off Kofo Abayomi, Adeola Odeku for sale",3200,3,3,Furnished,"Victoria Island, Adeola Odeku",Adeola Odeku,Lagos State,Enterprise,650000000.0
"2bdrm Maisonette in Off Freedom Way, Ikate for sale",600,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,Diamond,185000000.0
2bdrm Apartment in Chevron for sale,1000,2,3,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,False,135000000.0
5bdrm Duplex in Vgc for sale,367,5,5,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,VIP,330000000.0
5bdrm Duplex in Apapa for sale,500,5,5,Semi-Furnished,"Lagos State, Apapa",Apapa,Lagos State,Enterprise,450000000.0
"4bdrm Duplex in Ikota, Lekki for sale",220,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,VIP,160000000.0
"2bdrm Block of Flats in Freedom Way, Lekki Phase 1 for sale",2436,2,2,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP,180000000.0
3bdrm Block of Flats in Obawole Ifako Ijaiye for sale,630,3,2,Semi-Furnished,"Ogba, Ifako-Ogba",Ifako-Ogba,Lagos State,Enterprise,220000000.0
"4bdrm Duplex in Off Hakeem, Lekki Phase 1 for sale",150,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,700000000.0
3bdrm Block of Flats in Alakuko Ifako for sale,1625,3,3,Unfurnished,"Agege, Ifako",Ifako,Lagos State,Enterprise,330000000.0
3bdrm Apartment in Area 1 for sale,200,3,3,Semi-Furnished,"Garki 1, Area 1",Area 1,Abuja (FCT),Enterprise,200000000.0
"5bdrm Duplex in Megamond, Ikota for sale",328,5,6,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos State,VIP,420000000.0
5bdrm House in Wakajaye for sale,700,5,5,Semi-Furnished,"Ibadan, Wakajaye",Wakajaye,Oyo State,False,19000000.0
12bdrm Block of Flats in Agbowo. University for sale,600,12,6,Semi-Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Vip Gold,45000000.0
