title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
"4bdrm Duplex in Orchid Road, Ikota for sale",284,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,enterprise,"₦ 290,000,000"
"2bdrm Apartment in Mobile Road, Ajah for sale",200,2,2,semi-furnished,"Lagos State, Ajah",Ajah,Lagos State,enterprise,"₦ 80,000,000"
"8bdrm Block of Flats in Majek Abijo, Sangotedo for sale",500,8,8,unfurnished,"Ajah, Sangotedo",Sangotedo,Ajah,diamond,"₦ 100,000,000"
4bdrm Duplex in Old Ikoyi for sale,400,4,4,semi-furnished,"Ikoyi, Old Ikoyi",Old Ikoyi,Ikoyi,diamond,"₦ 1,500,000,000"
4bdrm Duplex in Lekki Phase 2 for sale,400,4,4,semi-furnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,diamond,"₦ 125,000,000"
4bdrm Duplex in Magodo Phase 2 for sale,400,4,4,unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,diamond,"₦ 620,000,000"
"4bdrm Block of Flats in Akute, Ojodu for sale",635,4,4,unfurnished,"Lagos State, Ojodu",Ojodu,Lagos State,diamond,"₦ 170,000,000"
3bdrm Apartment in Ifako-Gbagada for sale,350,3,3,semi-furnished,"Gbagada, Ifako-Gbagada",Ifako-Gbagada,Gbagada,enterprise,"₦ 145,000,000"
Furnished 2bdrm Apartment in Lekki for sale,360,2,2,furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,enterprise,"₦ 280,000,000"
"5bdrm Duplex in Orchid, Chevron for sale",360,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,enterprise,"₦ 420,000,000"
"4bdrm House in Ajah, Abraham Adesanya Estate for sale",100,4,4,semi-furnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,diamond,"₦ 198,000,000"
3bdrm Block of Flats in Garki 2 for sale,1000,3,4,unfurnished,"Abuja (FCT), Garki 2",Garki 2,Abuja (FCT),diamond,"₦ 750,000,000"
"Furnished 3bdrm Block of Flats in Peace Estate, Baruwa for sale",600,3,3,furnished,"Ipaja, Baruwa",Baruwa,Ipaja,diamond,"₦ 135,000,000"
"Furnished 2bdrm Block of Flats in Chief Olubode Estate, Egbeda for sale",150,2,2,furnished,"Alimosho, Egbeda",Egbeda,Alimosho,diamond,"₦ 150,000,000"
"Furnished 1bdrm Block of Flats in Okude, Ipaja / Ipaja for sale",600,1,1,furnished,"Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,diamond,"₦ 75,000,000"
4bdrm Duplex in Adeniyi Jones Axis for sale,400,4,4,unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,diamond,"₦ 430,000,000"
5bdrm Duplex in Ajao Estate Airport for sale,650,5,6,semi-furnished,"Isolo, Ajao Estate",Ajao Estate,Isolo,diamond,"₦ 260,000,000"
5bdrm Duplex in Lekki Lagos for sale,300,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,diamond,"₦ 600,000,000"
"3bdrm Block of Flats in Unity Estate Off, Alimosho for sale",650,3,3,unfurnished,"Lagos State, Alimosho",Alimosho,Lagos State,diamond,"₦ 200,000,000"
Furnished 5bdrm Duplex in Zone B for sale,600,5,6,furnished,"Apo District, Zone B",Zone B,Apo District,diamond,"₦ 650,000,000"
